complaint_id,precinct,borough,offense_level,offense_type,occurred_at,hour,is_night,population,source
MOCK-000033,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-10T15:00:58,15,0,60000,MOCK_NYPD_V1
MOCK-000034,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-09-12T18:05:45,18,0,60000,MOCK_NYPD_V1
MOCK-000035,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-14T07:02:18,7,0,60000,MOCK_NYPD_V1
MOCK-000036,5,MANHATTAN,FELONY,ROBBERY,2025-09-16T23:17:57,23,1,60000,MOCK_NYPD_V1
MOCK-000037,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-18T14:03:56,14,0,60000,MOCK_NYPD_V1
MOCK-000038,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-24T18:13:59,18,0,60000,MOCK_NYPD_V1
MOCK-000039,5,MANHATTAN,FELONY,GRAND LARCENY,2025-09-27T16:01:51,16,0,60000,MOCK_NYPD_V1
MOCK-000040,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-30T18:41:55,18,0,60000,MOCK_NYPD_V1
MOCK-000041,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-10-02T19:19:30,19,0,60000,MOCK_NYPD_V1
MOCK-000042,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-10-05T13:44:20,13,0,60000,MOCK_NYPD_V1
MOCK-000043,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-10-09T22:59:26,22,1,60000,MOCK_NYPD_V1
MOCK-000044,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-10-10T11:23:51,11,0,60000,MOCK_NYPD_V1
MOCK-000045,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-10-11T14:03:35,14,0,60000,MOCK_NYPD_V1
MOCK-000046,5,MANHATTAN,FELONY,BURGLARY,2025-10-12T03:18:32,3,1,60000,MOCK_NYPD_V1
MOCK-000047,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-10-12T15:04:53,15,0,60000,MOCK_NYPD_V1
MOCK-000048,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-10-15T08:28:27,8,0,60000,MOCK_NYPD_V1
MOCK-000049,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-10-20T17:11:25,17,0,60000,MOCK_NYPD_V1
MOCK-000050,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-10-23T07:46:32,7,0,60000,MOCK_NYPD_V1
MOCK-000051,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-10-23T14:15:37,14,0,60000,MOCK_NYPD_V1
MOCK-000052,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-10-26T23:28:56,23,1,60000,MOCK_NYPD_V1
MOCK-000053,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-11-04T06:48:56,6,0,60000,MOCK_NYPD_V1
MOCK-000054,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-11-04T15:08:00,15,0,60000,MOCK_NYPD_V1
MOCK-000055,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-11-04T18:53:09,18,0,60000,MOCK_NYPD_V1
MOCK-000056,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-11-07T19:55:32,19,0,60000,MOCK_NYPD_V1
MOCK-000057,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-11-07T20:49:24,20,1,60000,MOCK_NYPD_V1
MOCK-000058,5,MANHATTAN,FELONY,ROBBERY,2025-11-12T19:57:49,19,0,60000,MOCK_NYPD_V1
MOCK-000059,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-11-14T02:07:48,2,1,60000,MOCK_NYPD_V1
MOCK-000060,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-11-14T10:07:32,10,0,60000,MOCK_NYPD_V1
MOCK-000061,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-11-19T11:18:55,11,0,60000,MOCK_NYPD_V1
MOCK-000062,5,MANHATTAN,FELONY,FELONY ASSAULT,2025-11-19T15:21:47,15,0,60000,MOCK_NYPD_V1
MOCK-000063,5,MANHATTAN,FELONY,GRAND LARCENY,2025-11-23T07:56:53,7,0,60000,MOCK_NYPD_V1
MOCK-000064,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-11-24T16:32:11,16,0,60000,MOCK_NYPD_V1
MOCK-000065,5,MANHATTAN,FELONY,GRAND LARCENY,2025-11-25T17:47:15,17,0,60000,MOCK_NYPD_V1
MOCK-000066,5,MANHATTAN,FELONY,ROBBERY,2025-11-25T22:00:11,22,1,60000,MOCK_NYPD_V1
MOCK-000067,5,MANHATTAN,FELONY,GRAND LARCENY,2025-11-28T07:09:58,7,0,60000,MOCK_NYPD_V1
MOCK-000068,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-11-29T06:55:25,6,0,60000,MOCK_NYPD_V1
MOCK-000069,5,MANHATTAN,FELONY,BURGLARY,2025-11-30T16:13:15,16,0,60000,MOCK_NYPD_V1
MOCK-000070,5,MANHATTAN,FELONY,BURGLARY,2025-12-08T13:15:58,13,0,60000,MOCK_NYPD_V1
MOCK-000071,5,MANHATTAN,FELONY,BURGLARY,2025-12-09T09:57:07,9,0,60000,MOCK_NYPD_V1
MOCK-000072,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-12-10T07:20:45,7,0,60000,MOCK_NYPD_V1
MOCK-000073,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-12-11T03:07:17,3,1,60000,MOCK_NYPD_V1
MOCK-000074,5,MANHATTAN,FELONY,BURGLARY,2025-12-12T20:24:25,20,1,60000,MOCK_NYPD_V1
MOCK-000075,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-12-13T14:05:29,14,0,60000,MOCK_NYPD_V1
MOCK-000076,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-12-16T08:26:34,8,0,60000,MOCK_NYPD_V1
MOCK-000077,5,MANHATTAN,FELONY,GRAND LARCENY,2025-12-16T22:29:46,22,1,60000,MOCK_NYPD_V1
MOCK-000078,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-12-18T19:56:28,19,0,60000,MOCK_NYPD_V1
MOCK-000079,5,MANHATTAN,FELONY,ROBBERY,2025-12-20T06:34:14,6,0,60000,MOCK_NYPD_V1
MOCK-000080,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-12-22T18:28:26,18,0,60000,MOCK_NYPD_V1
MOCK-000081,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-01-02T00:48:47,0,1,60000,MOCK_NYPD_V1
MOCK-000082,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-01-02T19:35:31,19,0,60000,MOCK_NYPD_V1
MOCK-000083,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-01-03T20:37:12,20,1,60000,MOCK_NYPD_V1
MOCK-000084,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-01-04T16:36:31,16,0,60000,MOCK_NYPD_V1
MOCK-000085,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-01-06T16:22:05,16,0,60000,MOCK_NYPD_V1
MOCK-000086,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-01-07T20:27:37,20,1,60000,MOCK_NYPD_V1
MOCK-000087,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-01-11T19:48:52,19,0,60000,MOCK_NYPD_V1
MOCK-000088,5,MANHATTAN,FELONY,BURGLARY,2026-01-16T17:58:11,17,0,60000,MOCK_NYPD_V1
MOCK-000089,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-01-26T00:59:12,0,1,60000,MOCK_NYPD_V1
MOCK-000090,5,MANHATTAN,FELONY,ROBBERY,2026-02-07T23:44:28,23,1,60000,MOCK_NYPD_V1
MOCK-000091,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-02-09T00:04:30,0,1,60000,MOCK_NYPD_V1
MOCK-000092,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-02-13T23:59:40,23,1,60000,MOCK_NYPD_V1
MOCK-000093,5,MANHATTAN,FELONY,ROBBERY,2026-02-15T22:21:49,22,1,60000,MOCK_NYPD_V1
MOCK-000094,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-02-16T01:43:32,1,1,60000,MOCK_NYPD_V1
MOCK-000095,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-02-18T15:50:39,15,0,60000,MOCK_NYPD_V1
MOCK-000096,5,MANHATTAN,FELONY,ROBBERY,2026-02-23T17:32:03,17,0,60000,MOCK_NYPD_V1
MOCK-000097,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-03-02T23:35:11,23,1,60000,MOCK_NYPD_V1
MOCK-000098,5,MANHATTAN,FELONY,ROBBERY,2026-03-05T11:36:00,11,0,60000,MOCK_NYPD_V1
MOCK-000099,5,MANHATTAN,FELONY,GRAND LARCENY,2026-03-05T20:31:58,20,1,60000,MOCK_NYPD_V1
MOCK-000100,5,MANHATTAN,FELONY,GRAND LARCENY,2026-03-09T02:25:53,2,1,60000,MOCK_NYPD_V1
MOCK-000101,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-03-09T06:48:34,6,0,60000,MOCK_NYPD_V1
MOCK-000102,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-03-10T16:45:17,16,0,60000,MOCK_NYPD_V1
MOCK-000103,5,MANHATTAN,FELONY,BURGLARY,2026-03-15T02:13:35,2,1,60000,MOCK_NYPD_V1
MOCK-000104,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-03-18T06:10:38,6,0,60000,MOCK_NYPD_V1
MOCK-000105,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-03-19T15:00:11,15,0,60000,MOCK_NYPD_V1
MOCK-000106,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-03-28T09:37:00,9,0,60000,MOCK_NYPD_V1
MOCK-000107,5,MANHATTAN,FELONY,ROBBERY,2026-03-29T12:41:16,12,0,60000,MOCK_NYPD_V1
MOCK-000108,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-03-30T08:58:03,8,0,60000,MOCK_NYPD_V1
MOCK-000109,5,MANHATTAN,FELONY,BURGLARY,2026-04-10T03:10:44,3,1,60000,MOCK_NYPD_V1
MOCK-000110,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-04-14T05:26:16,5,1,60000,MOCK_NYPD_V1
MOCK-000111,5,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-04-16T18:09:34,18,0,60000,MOCK_NYPD_V1
MOCK-000112,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-04-18T12:59:42,12,0,60000,MOCK_NYPD_V1
MOCK-000113,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-04-22T22:53:16,22,1,60000,MOCK_NYPD_V1
MOCK-000114,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-04-29T05:00:34,5,1,60000,MOCK_NYPD_V1
MOCK-000115,5,MANHATTAN,FELONY,GRAND LARCENY,2026-05-01T02:54:03,2,1,60000,MOCK_NYPD_V1
MOCK-000116,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-05-07T01:30:45,1,1,60000,MOCK_NYPD_V1
MOCK-000117,5,MANHATTAN,FELONY,GRAND LARCENY,2026-05-12T17:09:45,17,0,60000,MOCK_NYPD_V1
MOCK-000118,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-05-14T17:51:04,17,0,60000,MOCK_NYPD_V1
MOCK-000119,5,MANHATTAN,FELONY,BURGLARY,2026-05-18T04:27:25,4,1,60000,MOCK_NYPD_V1
MOCK-000120,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-05-19T12:09:56,12,0,60000,MOCK_NYPD_V1
MOCK-000121,5,MANHATTAN,FELONY,BURGLARY,2026-05-21T07:11:12,7,0,60000,MOCK_NYPD_V1
MOCK-000122,5,MANHATTAN,FELONY,ROBBERY,2026-05-26T07:32:30,7,0,60000,MOCK_NYPD_V1
MOCK-000123,5,MANHATTAN,FELONY,GRAND LARCENY,2026-05-28T19:39:07,19,0,60000,MOCK_NYPD_V1
MOCK-000124,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-05-28T23:33:57,23,1,60000,MOCK_NYPD_V1
MOCK-000125,5,MANHATTAN,FELONY,BURGLARY,2026-05-29T06:43:35,6,0,60000,MOCK_NYPD_V1
MOCK-000126,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-05-30T21:32:56,21,1,60000,MOCK_NYPD_V1
MOCK-000127,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-06-06T11:22:10,11,0,60000,MOCK_NYPD_V1
MOCK-000128,5,MANHATTAN,FELONY,ROBBERY,2026-06-06T20:31:00,20,1,60000,MOCK_NYPD_V1
MOCK-000129,5,MANHATTAN,FELONY,FELONY ASSAULT,2026-06-10T07:56:15,7,0,60000,MOCK_NYPD_V1
MOCK-000130,5,MANHATTAN,FELONY,ROBBERY,2026-06-10T09:31:35,9,0,60000,MOCK_NYPD_V1
MOCK-000131,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-06-11T11:47:30,11,0,60000,MOCK_NYPD_V1
MOCK-000132,5,MANHATTAN,FELONY,BURGLARY,2026-06-13T10:45:39,10,0,60000,MOCK_NYPD_V1
MOCK-000133,5,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-06-24T23:01:17,23,1,60000,MOCK_NYPD_V1
MOCK-000134,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-06-25T03:27:31,3,1,60000,MOCK_NYPD_V1
MOCK-000135,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-06-25T07:01:38,7,0,60000,MOCK_NYPD_V1
MOCK-000136,5,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-06-27T02:38:16,2,1,60000,MOCK_NYPD_V1
MOCK-000137,5,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-06-28T17:24:25,17,0,60000,MOCK_NYPD_V1
MOCK-000138,5,MANHATTAN,FELONY,GRAND LARCENY,2026-06-29T08:20:30,8,0,60000,MOCK_NYPD_V1
MOCK-000139,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-07-08T06:09:26,6,0,60000,MOCK_NYPD_V1
MOCK-000140,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-17T06:05:33,6,0,60000,MOCK_NYPD_V1
MOCK-000141,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-07-24T04:22:30,4,1,60000,MOCK_NYPD_V1
MOCK-000142,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-07-27T03:49:38,3,1,60000,MOCK_NYPD_V1
MOCK-000143,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-28T03:45:26,3,1,60000,MOCK_NYPD_V1
MOCK-000144,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-07-30T04:25:54,4,1,60000,MOCK_NYPD_V1
MOCK-000145,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-03T17:13:53,17,0,60000,MOCK_NYPD_V1
MOCK-000146,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-08-07T12:57:47,12,0,60000,MOCK_NYPD_V1
MOCK-000147,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-17T22:37:57,22,1,60000,MOCK_NYPD_V1
MOCK-000148,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-18T23:12:32,23,1,60000,MOCK_NYPD_V1
MOCK-000149,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-08-23T17:16:40,17,0,60000,MOCK_NYPD_V1
MOCK-000150,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-08-26T04:08:51,4,1,60000,MOCK_NYPD_V1
MOCK-000151,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-08-29T21:11:00,21,1,60000,MOCK_NYPD_V1
MOCK-000152,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-08-31T19:26:01,19,0,60000,MOCK_NYPD_V1
MOCK-000153,14,MANHATTAN,FELONY,ROBBERY,2025-09-02T21:25:14,21,1,60000,MOCK_NYPD_V1
MOCK-000154,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-03T02:15:27,2,1,60000,MOCK_NYPD_V1
MOCK-000155,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-05T16:27:29,16,0,60000,MOCK_NYPD_V1
MOCK-000156,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-09-08T17:31:03,17,0,60000,MOCK_NYPD_V1
MOCK-000157,14,MANHATTAN,FELONY,ROBBERY,2025-09-11T18:55:50,18,0,60000,MOCK_NYPD_V1
MOCK-000158,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-12T23:43:29,23,1,60000,MOCK_NYPD_V1
MOCK-000159,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-13T08:44:30,8,0,60000,MOCK_NYPD_V1
MOCK-000160,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-09-19T01:18:46,1,1,60000,MOCK_NYPD_V1
MOCK-000161,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-09-22T02:13:54,2,1,60000,MOCK_NYPD_V1
MOCK-000162,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-10-05T15:19:28,15,0,60000,MOCK_NYPD_V1
MOCK-000163,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-10-07T00:08:18,0,1,60000,MOCK_NYPD_V1
MOCK-000164,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-10-21T08:51:05,8,0,60000,MOCK_NYPD_V1
MOCK-000165,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-10-22T21:32:40,21,1,60000,MOCK_NYPD_V1
MOCK-000166,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-10-23T15:12:53,15,0,60000,MOCK_NYPD_V1
MOCK-000167,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-10-25T03:27:48,3,1,60000,MOCK_NYPD_V1
MOCK-000168,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-10-29T23:45:45,23,1,60000,MOCK_NYPD_V1
MOCK-000169,14,MANHATTAN,FELONY,ROBBERY,2025-11-01T04:33:08,4,1,60000,MOCK_NYPD_V1
MOCK-000170,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-11-04T06:34:16,6,0,60000,MOCK_NYPD_V1
MOCK-000171,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-11-05T14:07:07,14,0,60000,MOCK_NYPD_V1
MOCK-000172,14,MANHATTAN,FELONY,ROBBERY,2025-11-06T05:40:22,5,1,60000,MOCK_NYPD_V1
MOCK-000173,14,MANHATTAN,FELONY,FELONY ASSAULT,2025-11-08T05:55:53,5,1,60000,MOCK_NYPD_V1
MOCK-000174,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-11-16T04:30:59,4,1,60000,MOCK_NYPD_V1
MOCK-000175,14,MANHATTAN,FELONY,BURGLARY,2025-12-03T15:07:26,15,0,60000,MOCK_NYPD_V1
MOCK-000176,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2025-12-12T06:54:38,6,0,60000,MOCK_NYPD_V1
MOCK-000177,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2025-12-12T20:39:25,20,1,60000,MOCK_NYPD_V1
MOCK-000178,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-12-20T20:55:33,20,1,60000,MOCK_NYPD_V1
MOCK-000179,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-12-21T09:32:51,9,0,60000,MOCK_NYPD_V1
MOCK-000180,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2025-12-25T04:28:17,4,1,60000,MOCK_NYPD_V1
MOCK-000181,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2025-12-30T11:47:44,11,0,60000,MOCK_NYPD_V1
MOCK-000182,14,MANHATTAN,FELONY,GRAND LARCENY,2026-01-04T09:44:38,9,0,60000,MOCK_NYPD_V1
MOCK-000183,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-01-04T11:43:56,11,0,60000,MOCK_NYPD_V1
MOCK-000184,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-01-07T02:48:04,2,1,60000,MOCK_NYPD_V1
MOCK-000185,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-01-09T21:06:58,21,1,60000,MOCK_NYPD_V1
MOCK-000186,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-01-11T18:44:16,18,0,60000,MOCK_NYPD_V1
MOCK-000187,14,MANHATTAN,FELONY,BURGLARY,2026-01-16T11:34:27,11,0,60000,MOCK_NYPD_V1
MOCK-000188,14,MANHATTAN,FELONY,BURGLARY,2026-01-21T21:18:06,21,1,60000,MOCK_NYPD_V1
MOCK-000189,14,MANHATTAN,FELONY,FELONY ASSAULT,2026-01-23T02:20:41,2,1,60000,MOCK_NYPD_V1
MOCK-000190,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-01-25T05:21:31,5,1,60000,MOCK_NYPD_V1
MOCK-000191,14,MANHATTAN,FELONY,BURGLARY,2026-01-26T12:05:24,12,0,60000,MOCK_NYPD_V1
MOCK-000192,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-01-31T04:46:06,4,1,60000,MOCK_NYPD_V1
MOCK-000193,14,MANHATTAN,MISDEMEANOR,PETIT LARCENY,2026-01-31T19:41:18,19,0,60000,MOCK_NYPD_V1
MOCK-000194,14,MANHATTAN,MISDEMEANOR,MISDEMEANOR ASSAULT,2026-02-15T00:52:43,0,1,60000,MOCK_NYPD_V1
MOCK-000195,14,MANHATTAN,MISDEMEANOR,CRIMINAL MISCHIEF,2026-02-19T08:52:23,8,0,60000,MOCK_NYPD_V1
MOCK-000196,14,MANHATTAN,FELONY,ROBBERY,2026-02-20T09:27:33,9,0,60000,MOCK_NYPD_V1
MOCK-000197,14,MANHATTAN,MISDEMEANOR,HARRASSMENT 2,2026-02-28T22:22:19,22,1,60000,MOCK_NYPD_V1
